Data,n,Resultado,Comp,Lado,TOP,Tipo,Subtipo,Scaling,Tipo Inimigo,En. Scaling,Duração,MVP,MVC,KDA,GD@10,GD@20,GD@F,GT,G/m,Dano,DA/DI,W/m,Fluxo de objetivos (t/v/g/d/b/i/n)
08/09/2025,5,❌ DERROTA,Poppy - Sejuani - Hwei - Tristana - Nami | Sion - Briar - Kassadin - Lux - Morgana,🟦 BLU,,🔼 Protect,Siege,🟡🟡🟢,🔀 Split,🟡🟡🟡,,Conkreto,Hwei,,,,,,#DIV/0!,,"0,00",#DIV/0!,
08/09/2025,4,❌ DERROTA,Ornn - Vi - Hwei - Varus - Leona | Thresh - Kayn - Lux - Kai'Sa - Rell,🟥 RED,,💥 Engage,Siege,🔴🟡🟢,🔪 Pick,🟡🟡🟡,,Conkreto,Hwei,,,,,,#DIV/0!,,"0,00",#DIV/0!,
08/09/2025,3,✅ VITÓRIA,Gnar - Lillia - Hwei - Yunara - Milio | Shen - Volibear - Yasuo - Jhin - Zyra,🟦 BLU,,🔼 Protect,Engage,🔴🟡🟢,🌀 Siege,🟢🟡🟡,,GdN,Lillia,,,,,,#DIV/0!,,"0,00",#DIV/0!,
08/09/2025,2,❌ DERROTA,Renekton - Zac - Hwei - Varus - Nami | Mordekaiser - Nautilus - Sylas - Jhin - Lux,🟦 BLU,,🌀 Siege,Split,🟡🟡🟡,🔀 Split,🟡🟡🟡,,Digo,Varus,,,,,,#DIV/0!,,"0,00",#DIV/0!,
08/09/2025,1,❌ DERROTA,Gnar - Zyra - Hwei - Miss Fortune - Leona | Trundle - Qiyana - Mel - Kai'Sa - Morgana,🟦 BLU,,🌀 Siege,Engage,🟡🟡🟡,🔪 Pick,🔴🟢🟡,,Digo,MF,,,,,,#DIV/0!,,"0,00",#DIV/0!,
05/09/2025,1,✅ VITÓRIA,Dr. Mundo - Nocturne - Annie - Varus - Zyra | Yasuo - Lee Sin - Ahri - Miss Fortune - Karma,🟦 BLU,,🌀 Siege,Split,🟡🟡🟡,🌀 Siege,🟡🟡🔴,,Conkreto,Annie,,,,,,#DIV/0!,,"0,00",#DIV/0!,
30/08/2025,2,❌ DERROTA,K'Sante - Lillia - Aurelion Sol - Nilah - Thresh | Aatrox - Xin Zhao - Mel - Corki - Nami,🟦 BLU,Nunes,🔀 Split,Protect,🟡🟡🟡,🌀 Siege,🟡🟢🟡,,Kelly,Thresh,,,,,,#DIV/0!,,"0,00",#DIV/0!,
30/08/2025,1,❌ DERROTA,Gragas - Jax - Ziggs - Jhin - Senna | Dr. Mundo - Lee Sin - Yone - Tristana - Illaoi,🟦 BLU,,🌀 Siege,Split,🟡🟡🟢,🔀 Split,🔴🟡🟢,,Conkreto,Ziggs,,,,,,#DIV/0!,,"0,00",#DIV/0!,
28/08/2025,4,✅ VITÓRIA,Gnar - Mundo - Syndra - Lucian - Nami,🟦 BLU,,🔪 Pick,Split,4 — 5 — 6,,,40,Conkreto,Syndra,,,,,,0,,"0,00","2,0",
28/08/2025,3,✅ VITÓRIA,Ornn - Zyra - Lissandra - Nilah - Nami,🟥 RED,,🔼 Protect,Engage,5 — 6 — 6,,,40,GdN,Zyra,,,,,,0,,"0,00","2,0",
28/08/2025,2,❌ DERROTA,Ornn - Wukong - Lissandra - Nilah - Nami,🟦 BLU,,💥 Engage,Protect,3 — 6 — 7,,,22,GdN,Wukong,,,,,,0,,"0,00","3,6",
28/08/2025,1,✅ VITÓRIA,Sion - Jarvan IV - Viktor - Jhin - Zyra,🟦 BLU,,🌀 Siege,Engage,7 — 5 — 5,,,43,GdN,J4,,,,,,0,,"0,00","1,8",
23/08/2025,5,❌ DERROTA,Jax - Viego - LeBlanc - Tristana - Nautilus | Sett - Kayn - Hwei - Yunara - Thresh,🟥 RED,Klebão,🔀 Split,Pick-Reset,5 — 2 — 7,🔀 Split,🔴🟡🟢,27,GdN,Viego,,,,,,0,,"0,00","2,9",
23/08/2025,4,❌ DERROTA,K'Sante - Lee Sin - Veigar - Aphelios - Leona,🟦 BLU,,⚠ Mix,Split-Pick-Engage-Siege,3 — 5 — 6,,,41,Conkreto,Veigar,,,,,,0,,"0,00","1,9",
23/08/2025,3,❌ DERROTA,Malphite - Volibear - Cassopeia - Aphelios - Sona,🟦 BLU,,🔼 Protect,Split,2 — 6 — 7,,,29,Klebão,Malphite,,,,,,0,,"0,00","2,7",
23/08/2025,2,✅ VITÓRIA,Gnar - Gragas - Lissandra - Aphelios - Nami,🟦 BLU,,💥 Engage,Protect,4 — 6 — 6,,,42,Conkreto,Lissandra,,,,,,0,,"0,00","1,9",
23/08/2025,1,✅ VITÓRIA,Rumble - Zac - Viktor - Varus - Nami,🟦 BLU,,💥 Engage,Siege,2 — 5 — 9,,,25,Conkreto,Viktor,,,,,,0,,"0,00","3,2",
22/08/2025,4,✅ VITÓRIA,Rumble - Graves - Viktor - Ashe - Zyra,🟦 BLU,,🌀 Siege,Engage,0 — 0 — 0,,,41,Pixek,Rumble,54 - 44,(206),652,5.600,86.869,2.119,196.177,"1,18","1,9",
22/08/2025,3,✅ VITÓRIA,Renekton - Viego - LeBlanc - Kai'Sa - Rakan,🟥 RED,,🔪 Pick,Split-Dive,0 — 0 — 0,,,32,Conkreto,LB,34 - 18,320,915,10.500,66.286,2.071,99.621,"1,23","2,1",
22/08/2025,2,✅ VITÓRIA,Kennen - Zac - Lissandra - Miss Fortune - Leona,🟥 RED,,💥 Engage,Siege,0 — 0 — 0,,,24,Digo,MF,31 - 14,123,6.700,8.300,47.674,1.986,74.544,"1,14","2,1",
22/08/2025,1,❌ DERROTA,Malphite - Jarvan IV - Viktor - Jhin - Zyra,🟦 BLU,,🌀 Siege,Engage,0 — 0 — 0,,,34,GdN,J4,33 - 39,59,1.600,(6.500),62.221,1.830,116.843,"0,86","2,0",
18/08/2025,6,❌ DERROTA,Jax - Viego - LeBlanc - Samira - Rakan,🟦 BLU,Pixek,🔀 Split,Pick-Dive,0 — 0 — 0,,,30,Digo,Samira,,,,,,,,,,
18/08/2025,5,❌ DERROTA,Fiora - Lee Sin - LeBlanc - Vayne - Bard,🟥 RED,Pixek,🔀 Split,Pick,4 — 4 — 6,,,15,Pixek,Fiora,,,,,,,,,,
18/08/2025,4,✅ VITÓRIA,Rumble - Graves - Akali - Samira - Rakan,🟥 RED,,💥 Engage,Split,0 — 0 — 0,,,30,Pixek,Rumble,,,,,,,,,,
18/08/2025,3,✅ VITÓRIA,Renekton - Viego - LeBlanc - Tristana - Nautilus,🟥 RED,,🔪 Pick,Split,0 — 0 — 0,,,32,GdN,Viego,,,,,,,,,,
18/08/2025,2,❌ DERROTA,Gnar - Diana - Azir - Miss Fortune - Leona,🟦 BLU,,💥 Engage,Pick,0 — 0 — 0,,,48,Digo,MF,,,,,,,,,,
18/08/2025,1,✅ VITÓRIA,Sion - Jarvan IV - Viktor - Jhin - Zyra,🟦 BLU,,🌀 Siege,Engage,0 — 0 — 0,,,36,Conkreto,Viktor,,,,,,,,,,
17/08/2025,5,❌ DERROTA,Cho'Gath - Jarvan IV - Orianna - Xayah - Nami,🟥 RED,,🔼 Protect,Engage,0 — 0 — 0,,,33,GdN,J4,,,,,,,,,,
17/08/2025,4,✅ VITÓRIA,Kennen - Zac - Lissandra - Aphelios - Seraphine,🟦 BLU,,💥 Engage,Protect,0 — 0 — 0,,,26,Kelly,Seraphine,,,,,,,,,,
17/08/2025,3,❌ DERROTA,Shen - Pantheon - Taliyah - Tristana - Thresh,🟦 BLU,,🔼 Protect,Siege,0 — 0 — 0,,,41,Digo,Tristana,,,,,,,,,,
17/08/2025,2,❌ DERROTA,Aurora - Nidalee - Ziggs - Caitlyn - Seraphine,🟥 RED,,🌀 Siege,Mix,0 — 0 — 0,,,40,Conkreto,Ziggs,,,,,,,,,,
17/08/2025,1,✅ VITÓRIA,Gragas - Jarvan IV - Viktor - Ashe - Braum,🟥 RED,,🌀 Siege,Engage,0 — 0 — 0,,,32,Conkreto,Viktor,,,,,,,,,,
16/08/2025,3,❌ DERROTA,Trundle - Zac - Yone - Kai'Sa - Leona,🟥 RED,,💥 Engage,Pick,0 — 0 — 0,,,33,Digo,Kai'sa,,,,,,,,,,
16/08/2025,2,✅ VITÓRIA,Irelia - Shen - Taliyah - Ezreal - Seraphine | Gangplank - Vi - Veigar - Yunara - Shaco,🟦 BLU,Klebão,🔀 Split,Siege,0 — 0 — 0,🔀 Split,🔴🟡🟢,35,Klebão,Irelia,,,,,,,,,,
16/08/2025,1,❌ DERROTA,Irelia - Volibear - Veigar - Jhin - Lux | Urgot - Graves - Zed - Nilah - Rell,🟥 RED,Klebão,🔀 Split,Siege,0 — 0 — 0,🔀 Split,🟡🟡🟡,25,Conkreto,Veigar,,,,,,,,,,
15/08/2025,5,✅ VITÓRIA,Rumble - Jarvan IV - Veigar - Twitch - Zyra,🟦 BLU,,🌀 Siege,Engage,0 — 0 — 0,,,26,GdN,J4,34 - 21,,,,,,,,,
15/08/2025,4,✅ VITÓRIA,Rumble - Maokai - Vex - Jhin - Zyra,🟥 RED,,💥 Engage,Siege,0 — 0 — 0,,,23,Conkreto,Vex,22 - 12,,,,,,,,,
15/08/2025,3,❌ DERROTA,Trundle - Ekko - Veigar - Kai'Sa - Zyra,🟥 RED,,🔪 Pick,Siege,0 — 0 — 0,,,37,Conkreto,Veigar,35 - 52,,,,,,,,,
15/08/2025,2,❌ DERROTA,Gnar - Lee Sin - Ahri - Samira - Leona,🟥 RED,,💥 Engage,Pick,0 — 0 — 0,,,30,GdN,Lee,28 - 33,,,,,,,,,
15/08/2025,1,❌ DERROTA,K'Sante - Sejuani - Viktor - Jinx - Nami,🟥 RED,,🔼 Protect,Split,2 — 5 — 8,,,31,Conkreto,Viktor,25 - 28,,,,,,,,,
14/08/2025,6,❌ DERROTA,Trundle - Nocturne - Malzahar - Ashe - Renata Glasc,🟦 BLU,,🔪 Pick,Split,0 — 0 — 0,,,35,Conkreto,Malzahar,24 - 49,,,,,,,,,
14/08/2025,5,✅ VITÓRIA,Jax - Nidalee - Ziggs - Kai'Sa - Zyra,🟦 BLU,,🌀 Siege,Pick,0 — 0 — 0,,,38,Conkreto,Ziggs,28 - 43,,,,,,,,,
14/08/2025,4,✅ VITÓRIA,Gnar - Xin Zhao - Ahri - Kai'Sa - Thresh,🟦 BLU,,🔪 Pick,Split,0 — 0 — 0,,,20,GdN,Xin,25 - 11,,,,,,,,,
14/08/2025,3,✅ VITÓRIA,Malphite - Lillia - Cassiopeia - Jhin - Zyra,🟦 BLU,,🌀 Siege,Engage,0 — 0 — 0,,,32,Conkreto,Cassio,28 - 25,2.000,2.400,7.600,67.101,2.097,113.876,"1,11","2,0",
14/08/2025,2,✅ VITÓRIA,Jax - Ekko - Veigar - Varus - Zyra,🟦 BLU,,🌀 Siege,Split,0 — 0 — 0,,,28,Conkreto,Veigar,40 - 18,,,,,,,,,
14/08/2025,1,✅ VITÓRIA,K'Sante - Skarner - Viktor - Jinx - Nami,🟥 RED,,🔼 Protect,Split,0 — 0 — 0,,,28,Kelly,Nami,32 - 20,,,,,,,,,
13/08/2025,4,✅ VITÓRIA,Aurora - Maokai - Malzahar - Ashe - Zyra,🟥 RED,,🌀 Siege,Engage,0 — 0 — 0,,,34,Kelly,Zyra,45 - 40,,,,,,,,,
13/08/2025,3,✅ VITÓRIA,Ornn - Volibear - Viktor - Jinx - Nami,🟥 RED,,🔼 Protect,Siege,0 — 0 — 0,,,28,GdN,Voli,36 - 23,,,,,,,,,
13/08/2025,2,✅ VITÓRIA,Sion - Wukong - Veigar - Twitch - Leona,🟦 BLU,,🔼 Protect,Engage,0 — 0 — 0,,,32,Conkreto,Veigar,28 - 18,,,,,,,,,
13/08/2025,1,✅ VITÓRIA,K'Sante - Lillia - Neeko - Miss Fortune - Nautilus,🟦 BLU,,💥 Engage,Split,0 — 0 — 0,,,29,GdN,Lillia,37 - 14,,,,,,,,,
